,...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n,edit,
85,39519,ALLEGHENY,THE HUT,65**7908,Cigarette Vending,2/28/25,40.41725569,-79.81442041,"1111 JAMES ST TURTLE CREEK, PA 15145-1505",12/1/22,PA,ACTIVE,"lat, lon",
86,39633,ALLEGHENY,THE ROSE,65**7908,Cigarette Vending,2/28/25,40.32392949,-79.78322921,"LINCOLN HWY WHITE OAK, PA 15131",12/1/22,PA,ACTIVE,"lat, lon",
87,41399,ALLEGHENY,UKRANIAN CLUB,65**7908,Cigarette Vending,2/28/25,40.39464489,-79.80192857,"113 Watkins Ave, Wilmerding, PA 15148",12/1/22,PA,ACTIVE,"lat, lon, address_full",
88,41459,CENTRE,UNI MART #3106,70**8001,Cig/OTP Retail,2/28/21,40.90063786,-78.20951326,1473 PORT MATILDA HWY PHILIPSBURG PA 16866-3124,5/18/20,PA,EXPIRED,"lat, lon",
89,41460,FRANKLIN,UNI MART #3130,70**8009,Cig/OTP Retail,2/29/20,39.83497729,-77.90520076,11886 BUCHANAN TRL W MERCERSBURG PA 17236-9767,1/29/20,PA,EXPIRED,"lat, lon",
90,42250,ALLEGHENY,VFW,65**7908,Cigarette Vending,2/28/23,40.51718741,-80.16279069,"412 Mulberry St, Coraopolis, PA 15108",12/1/22,PA,EXPIRED,"lat, lon, address_full",
91,42643,BEDFORD,WAL MART 1684,70**8010,Cigarette/OTP Retail,2/28/25,40.0231882,-78.44714954,72 BEDFORD SQ EVERETT PA 15537-6934,5/26/21,PA,ACTIVE,"lat, lon",
92,44635,WASHINGTON,WESTLAND CLUB,63**7797,Cigarette Vending,2/28/25,40.27944247,-80.27121469,"291 Hornhead Rd, Westland, PA 15378",12/1/22,PA,ACTIVE,"lat, lon, address_full",
93,279,NA,101 ROUTE 4 ASSOCIATES INC,NJ_22_4467,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
94,280,NA,101 ROUTE 4 ASSOCIATES INC,NJ_22_4469,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
95,917,NA,328 FUEL INC,NJ_22_7614,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
96,1166,NA,4ZONE LLC,NJ_22_7571,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
97,1738,NA,7-ELEVEN 11036G,NJ_22_2215,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
98,1781,NA,7-ELEVEN 18024C,NJ_22_2073,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
99,1803,NA,7-ELEVEN 2412-34272A,NJ_22_3263,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
100,1854,NA,7-ELEVEN 34157A,NJ_22_3184,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
101,1887,NA,7-ELEVEN STORE #10954-H,NJ_22_5646,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
102,1892,NA,7-ELEVEN STORE #11007-C,NJ_22_8232,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
103,1927,NA,7-ELEVEN STORE #11458-F,NJ_22_8174,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
104,1930,NA,7-ELEVEN STORE #16061-E,NJ_22_8317,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
105,1942,NA,7-ELEVEN STORE #20302-F,NJ_22_8217,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
106,1982,NA,7-ELEVEN STORE #32162-K,NJ_22_5647,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
107,2060,NA,7-ELEVEN STORE #37695-A,NJ_22_7180,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
108,2076,NA,7-ELEVEN STORE #38428-A,NJ_22_7046,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
109,2079,NA,7-ELEVEN STORE #38462-B,NJ_22_8299,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
110,2081,NA,7-ELEVEN STORE #38462-H,NJ_22_5645,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
111,2097,NA,7-ELEVEN STORE #39300-C,NJ_22_8293,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
112,2105,NA,7-ELEVEN STORE #39643-A,NJ_22_6895,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
113,2166,NA,7-ELEVEN STORE #41819-H,NJ_22_5648,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
114,2339,NA,7-ELEVEN STORE 2412-39585A,NJ_22_5590,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
115,2428,NA,7-ELEVEN STORE 35693A,NJ_22_4690,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
116,2435,NA,7-ELEVEN STORE 37718A,NJ_22_6271,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
117,2450,NA,7-ELEVEN STORE# 2413-36048A,NJ_22_4568,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
118,2927,NA,A J DELI & GROCERY STORE II LLC,NJ_22_6795,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
119,2956,NA,A P INVESTMENTS INCORPORATED,NJ_22_6438,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
120,3082,NA,A T MINI MARKET LLC,NJ_22_5798,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
121,3171,NA,A.L.B LIQUORS INC,NJ_22_8092,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
122,3663,NA,ADELINE DELI & GROCERY LLC,NJ_22_8286,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
123,3898,NA,AL MINI MARKET,NJ_22_4565,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
124,3902,NA,AL PETROLEUM LLC,NJ_22_7256,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
125,4091,NA,ALL BROTHER LIQUOR #2,NJ_22_303,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
126,4450,NA,AMG RETAIL I LLC,NJ_22_6164,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
127,4582,NA,ANEEKA 23 CORP,NJ_22_7149,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
128,4638,NA,ANJ MERCHANTS LLC,NJ_22_6586,NA,3/31/23,NA,NA,"NA, NA, NA, 00000",4/1/22,NJ,ACTIVE,NA,
129,4777,NA,APPLEGREEN NJ WELCOME CENTRES LLC,NJ_22_7787,NA,3/31/23,40.0583238,-74.4056612,"NA, NA, NJ, 00000",4/1/22,NJ,ACTIVE,NA,
